Categories,Competency,Proficiency Level,Course Title ,URL,Course with Hyperlink,Course Provider,Learning Outcomes,Training Period, Cost ,Training Mode,Start Date,End Date,Prioritisation
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 2) Intermediate,Investigative Interview Techniques,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CRIIT13,Investigative Interview Techniques,Civil Service College,"√ Articulate legal issues involved in interviewing
√ Identify common signs of deception by interviewees
√ Illustrate various techniques for interviewing",24HRS,$935.00,Classroom,23/6/2025,25/6/2025,4
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 2) Intermediate,[E-Learning] Significant Updates on Group Audit for Practitioners - Stay in the Know!,,[E-Learning] Significant Updates on Group Audit for Practitioners - Stay in the Know!,ISCA,,2HRS,$80.00,E-Learning,Nil,,0
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 2) Intermediate,Critical Thinking in Internal Audit,,Critical Thinking in Internal Audit,The Institute of Internal Auditors,√  Application of critical thinking in the internal audit process,8hr,700,Classroom,Nil,,0
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 2) Intermediate,Data Analytics and Visualisations with Excel for Internal Auditors,https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage%7C2&ROXY=0x000000000025a310&DISPMODE=Calendar,Data Analytics and Visualisations with Excel for Internal Auditors,The Institute of Internal Auditors,"√ Understand the various types of data analytics and their applications.
√ Perform descriptive and diagnostic analytics
√ Discover the various functions of Microsoft Excel to perform data analysis.",2 days,"$1,040.00",Classroom,22/9/2025,23/9/2025,5
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 2) Intermediate,Excel VBA Essentials for Internal Auditors,https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage|2&ROXY=0x000000000025a312&DISPMODE=Calendar,Excel VBA Essentials for Internal Auditors,The Institute of Internal Auditors,"√ Introduction to Excel VBA
√ Basic VBA Programming Concepts
√ Automating Auditing Tasks with VBA
√ Data Visualization and Reporting
√ Error Handling and Debugging
√ Advanced VBA Techniques",2 days,"$1,040.00",Classroom,18/9/2025,19/9/2025,2
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 2) Intermediate,Forensic Analytics for Effective Fraud Detection,https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage|2&ROXY=0x000000000025a30d&DISPMODE=Calendar,Forensic Analytics for Effective Fraud Detection,The Institute of Internal Auditors,"√ Understand the two key components of forensic data analytics
√ Recognise the limitations of traditional audit approach of sampling for fraud detection in Big Data environment
√ Understand forensic data analytics
√ Formulate fraud risk statement and business rules to identify exceptions to flag breaches of internal control, errors and potential fraud
√ Apply forensic data analytics to high profile fraud cases",1 day,$700.00,Classroom,26/9/2025,26/9/2025,1
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 2) Intermediate,One Day Seminar (Jan): Data Analytics,https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage|2&ROXY=0x0000000000254c8c&DISPMODE=Calendar,One Day Seminar (Jan): Data Analytics,The Institute of Internal Auditors,"√ Understand the various types of data analytics and their applications.
√ Perform descriptive and diagnostic analytics
√ Discover the various functions of Microsoft Excel to perform data analysis.",1 day,,Classroom,Nil,,0
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 2) Intermediate,Tools for Lead Auditors,https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage|2&ROXY=0x000000000025a48d&DISPMODE=Calendar,Tools for Lead Auditors,The Institute of Internal Auditors,"√ The International Professional Practices Framework (IPPF)
√ Understanding the control environment
√ Audit Governance
√ Leadership, Leading and monitoring staff
√ Audit Planning, Risk assessment, Internal controls & walk throughs
√ Audit Findings & report
",24HRS,"$1,440.00",Classroom,28/10/2025,30/10/2025,3
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 3) Advanced,[E-Learning] Significant Updates on Group Audit for Practitioners - Stay in the Know!,,[E-Learning] Significant Updates on Group Audit for Practitioners - Stay in the Know!,ISCA,,2HRS,$80.00,E-Learning,Nil,,0
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 3) Advanced,Ethics & Standards Update for Audit Professionals,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000001pHa4AAE,Ethics & Standards Update for Audit Professionals,ISCA,,3.5HRS,$247.00,Virtual Classroom,26/9/2025,26/9/2025,3
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 3) Advanced,ISCA Financial Forensic Accounting Qualification,,ISCA Financial Forensic Accounting Qualification,ISCA,"√ Forensic Accounting and Investigation
√ Digital Forensics
√ Financial Crime","5 days for workshop, additional 3 days for exam",5029,Virtual Workshop,NA,,0
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 3) Advanced,ISCA Financial Forensic Accounting Qualification,,ISCA Financial Forensic Accounting Qualification,ISCA,"√ Forensic Accounting and Investigation
√ Digital Forensics
√ Financial Crime","5 days workshop, additional 3 days exam",5029,Virtual Workshop,NA,,0
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 3) Advanced,Graduate Certificate in Digital Finance Module 5: Digital Forensics,https://academy.smu.edu.sg/graduate-certificate-digital-finance-module-5-digital-forensics-1976,Graduate Certificate in Digital Finance Module 5: Digital Forensics,Singapore Management University,,2DAYS,$480.00,Classroom,6/10/2025,7/10/2025,4
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 3) Advanced,Data analytics with SQL for Internal Auditors,https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage%7C2&ROXY=0x000000000025a381&DISPMODE=Calendar,Data analytics with SQL for Internal Auditors,The Institute of Internal Auditors,,2 days,"$1,040.00",Classroom,17/7/2025,18/7/2025,1
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 3) Advanced,Public Services Internal Audit Conference 2026,,Public Services Internal Audit Conference 2026,The Institute of Internal Auditors,,,,Classroom,NA,,0
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 3) Advanced,Six Sigma Methodology for Internal Audit Activity,,Six Sigma Methodology for Internal Audit Activity,The Institute of Internal Auditors,"√ Introduction to Six Sigma Methodology
√ Application of Six Sigma Quality Tools",,,TBA,Nil,,0
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 3) Advanced,Tools for Audit Managers,https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage%7C2&ROXY=0x000000000025a487&DISPMODE=Calendar,Tools for Audit Managers,The Institute of Internal Auditors,"√ Examine and practice the skills needed to lead as a manager
√ Learn how to supervise and develop an audit team, manage change, and effectively manage relationships with with the CAE, executive management, and the audit committee.",24HRS,"$1,440.00",Classroom,18/8/2025,20/8/2025,2
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 4) Expert,Professional Accountants In Business (PAIB) Conference 2025,,Professional Accountants In Business (PAIB) Conference 2025,ISCA,,1DAY,TBA,Classroom,TBA,TBA,4
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 4) Expert,Advanced Risk-based Auditing,https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage%7C2&ROXY=0x000000000025a491&DISPMODE=Calendar,Advanced Risk-based Auditing,The Institute of Internal Auditors,,2 days, TBA ,Classroom,28/8/2025,29/8/2025,1
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 4) Expert,"Data Analytics, a Game Changer in Modern Auditing",https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage%7C2&ROXY=0x000000000025a482&DISPMODE=Calendar,"Data Analytics, a Game Changer in Modern Auditing",The Institute of Internal Auditors,,1 day,$700.00,Classroom,21/11/2025,21/11/2025,2
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 4) Expert,IIA Conference 2025,,IIA Conference 2025,The Institute of Internal Auditors,,1 day, TBA ,Classroom,TBA,,3
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 4) Expert,Public Services Internal Audit Conference 2026,,Public Services Internal Audit Conference 2026,The Institute of Internal Auditors,,,,Classroom,NA,,5
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 5) Master,Professional Accountants In Business (PAIB) Conference 2025,,Professional Accountants In Business (PAIB) Conference 2025,ISCA,,1DAY,TBA,Classroom,TBA,TBA,2
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 5) Master,IIA Conference 2025,,IIA Conference 2025,The Institute of Internal Auditors,,1 day, TBA ,Classroom,TBA,,1
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 5) Master,Public Services Internal Audit Conference 2026,,Public Services Internal Audit Conference 2026,The Institute of Internal Auditors,,,,Classroom,NA,,3
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(NOT INDICATED IN MOF ROADMAP),IT Audit training for non-IT Auditors,,IT Audit training for non-IT Auditors,The Institute of Internal Auditors,Cant find,,,TBA,,,0
Finance Functional Competencies,C02: Governance & Risk Management,(Level 1) Foundation,Fraud Awareness for Public Sector Finance and IA Officers,,Fraud Awareness for Public Sector Finance and IA Officers,AGD/NP,,,,TBA,NA,,0
Finance Functional Competencies,C02: Governance & Risk Management,(Level 1) Foundation,Dealing with Public Sector Internal Controls,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CRICF10,Dealing with Public Sector Internal Controls,Civil Service College,"√ Internal controls concepts
√ Identify control risk areas
√ Manage exceptions
",11HRS,$460.00,Classroom,5/9/2025,5/9/2025,2
Finance Functional Competencies,C02: Governance & Risk Management,(Level 1) Foundation,Fundamentals of Public Finance Management Module 1 - Ministry and Statutory Board Finance,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CRFPFM1,Fundamentals of Public Finance Management Module 1 - Ministry and Statutory Board Finance,Civil Service College,"√ Public finance policies
√ Government accounting
√ Central financial systems",14.25HRS,$925.00,Classroom,28/8/2025,29/8/2025,1
Finance Functional Competencies,C02: Governance & Risk Management,(Level 1) Foundation,Managing Conflict of Interest and Related-Party Transactions,,Managing Conflict of Interest and Related-Party Transactions,Civil Service College,"√ Evaluate the risk and impact of conflict of interest scenarios and related party transactions
√ Disclosure requirements",8.00 hours,,Virtual Classroom,NIL,,0
Finance Functional Competencies,C02: Governance & Risk Management,(Level 1) Foundation,Managing Ethical Dilemmas Involving Financial Irregularities for Public Finance Officers,,Managing Ethical Dilemmas Involving Financial Irregularities for Public Finance Officers,Civil Service College,"√ Explain the common causes for ethical dilemmas for public finance officers
√ Describe ways you can safeguard against threats which may compromise your public code of conduct
√ Describe what you should do when confronted with situations that you feel infringe the law and regulations
√ List the ways to develop a strong organisation culture to guard against financial irregularities",,,Classroom,TBA,,0
Finance Functional Competencies,C02: Governance & Risk Management,(Level 1) Foundation,[E-Learning] Code of Ethics for Professional Accountants,,[E-Learning] Code of Ethics for Professional Accountants,ISCA,,2HRS (25 AUG),$80.00,E-Learning,NIL,,0
Finance Functional Competencies,C02: Governance & Risk Management,(Level 1) Foundation,[E-Learning] Enterprise Risk Management,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TPXgAAO&_ga=2.4181936.1626425500.1670914557-1149870743.1670913560,[E-Learning] Enterprise Risk Management,ISCA,"√ fundamental concepts of ERM
√ Apply suitable risk management practices",1.5HRS,$120.00,E-Learning,OTOT,6MTHS FROM PURCHASE,4
Finance Functional Competencies,C02: Governance & Risk Management,(Level 1) Foundation,Risk Management in the Digital and Cyber Era,,Risk Management in the Digital and Cyber Era,ISCA,,2HRS (13 OCT),$80.00,Virtual Classroom,NIL,,0
Finance Functional Competencies,C02: Governance & Risk Management,(Level 1) Foundation,The Role of an Ethical Accountant in Fraud Prevention,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTCsAAO,The Role of an Ethical Accountant in Fraud Prevention,ISCA,,7HRS (21 JUL),$434.00,Virtual Classroom,29/9/2025,29/9/2025,3
Finance Functional Competencies,C02: Governance & Risk Management,(Level 1) Foundation,[E-Learning] IM8 Governance Modules,,[E-Learning] IM8 Governance Modules,learn.gov.sg,,OTOT,0,E-Learning,OTOT,,5
Finance Functional Competencies,C02: Governance & Risk Management,(Level 2) Intermediate,[E-Learning] Anti-Corruption & Ethics: Relevance to Accounting & Finance Professionals,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000001ooRD,[E-Learning] Anti-Corruption & Ethics: Relevance to Accounting & Finance Professionals,ISCA,,2HRS,$164.80,E-Learning,OTOT,6MTHS FROM PURCHASE,8
Finance Functional Competencies,C02: Governance & Risk Management,(Level 2) Intermediate,[E-Learning] Ethics & Professionalism: Relevance of Ethics Pronouncement 100 to Professional Accountants,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000suODAAY,[E-Learning] Ethics & Professionalism: Relevance of Ethics Pronouncement 100 to Professional Accountants,ISCA,,2HRS (OTOT),$125.12,E-Learning,OTOT,6MTHS FROM PURCHASE,9
Finance Functional Competencies,C02: Governance & Risk Management,(Level 2) Intermediate,[E-Learning] Ethics Pronouncement 200: An Overview,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000002kynNAAQ,[E-Learning] Ethics Pronouncement 200: An Overview,ISCA,,2HRS (OTOT),$164.80,E-Learning,OTOT,6MTHS FROM PURCHASE,10
Finance Functional Competencies,C02: Governance & Risk Management,(Level 2) Intermediate,Business Ethics – Real World Applications – Recommended Solutions,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTDTAA4,Business Ethics – Real World Applications – Recommended Solutions,ISCA,,7HRS,$362.00,Virtual Classroom,22/8/2025,22/8/2025,6
Finance Functional Competencies,C02: Governance & Risk Management,(Level 2) Intermediate,EP 100 in Guiding Accountants’ Ethics,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000001ogh8AAA,EP 100 in Guiding Accountants’ Ethics,ISCA,,,$362.00,Virtual Classroom,18/9/2025,18/9/2025,2
Finance Functional Competencies,C02: Governance & Risk Management,(Level 2) Intermediate,Ethics and Update of Financial Reporting Standards (FRSs) for Finance Professionals,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000001pHaJAAU,Ethics and Update of Financial Reporting Standards (FRSs) for Finance Professionals,ISCA,,3.5HRS,$206.00,Virtual Classroom,27/8/2025,27/8/2025,3
Finance Functional Competencies,C02: Governance & Risk Management,(Level 2) Intermediate,Forensic Analytics for Effective Payment Fraud Detection,,Forensic Analytics for Effective Payment Fraud Detection,ISCA,,3.5hr (26 May),197.76,Classroom,TBA,,0
Finance Functional Competencies,C02: Governance & Risk Management,(Level 2) Intermediate,Fraud Risk Management for the Public Sector,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTBnAAO&_ga=2.248357319.1748540460.1614043824-1659275873.1614043824,Fraud Risk Management for the Public Sector,ISCA,,3.5HRS,$206.00,Virtual Classroom,28/7/2025,28/7/2025,1
Finance Functional Competencies,C02: Governance & Risk Management,(Level 2) Intermediate,Guidance on Ethics for Professional Accountants in an increasingly unethical world,,Guidance on Ethics for Professional Accountants in an increasingly unethical world,ISCA,,,,TBA,TBA,,0
Finance Functional Competencies,C02: Governance & Risk Management,(Level 2) Intermediate,Is your mental health affecting your “going concern”? – Accountants’ mental health and its implications on Ethics,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000001oXhJAAU&_ga=2.131039686.832403418.1660638536-1807543175.1656313267,Is your mental health affecting your “going concern”? – Accountants’ mental health and its implications on Ethics,ISCA,,2HRS (24 JUN),$116.39,Virtual Classroom,TBA,,0
Finance Functional Competencies,C02: Governance & Risk Management,(Level 2) Intermediate,Managing Ethical Challenges in Grant Governance,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000001oWOzAAM&_ga=2.210392151.311317385.1632105673-279476387.1612148388,Managing Ethical Challenges in Grant Governance,ISCA,,7HRS,$362.00,Virtual Classroom,4/7/2025,4/7/2025,7
Finance Functional Competencies,C02: Governance & Risk Management,(Level 2) Intermediate,Managing Risks Arising From Commercial Contracts,,Managing Risks Arising From Commercial Contracts,ISCA,,3.5hrs (8 Nov),$168.92,Virtual Classroom,TBA,,0
Finance Functional Competencies,C02: Governance & Risk Management,(Level 2) Intermediate,Public Financial Management & Procurement: Contemporary Issues & Audit Findings,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTByAAO&_ga=2.267902990.1626425500.1670914557-1149870743.1670913560,Public Financial Management & Procurement: Contemporary Issues & Audit Findings,ISCA,"√ Audit Findings and concerns in recent years
√ Public Procurement
√ Financial Controls and key audit issues",7HRS,$362.00,Virtual Classroom,21/10/2025,21/10/2025,5
Finance Functional Competencies,C02: Governance & Risk Management,(Level 2) Intermediate,The 7 Deadly Sins in Accounting Ethics,,The 7 Deadly Sins in Accounting Ethics,ISCA,,,,TBA,TBA,,0
Finance Functional Competencies,C02: Governance & Risk Management,(Level 2) Intermediate,Practical Risk Assessment in Action,https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage%7C2&ROXY=0x000000000025a50d&DISPMODE=Calendar,Practical Risk Assessment in Action,The Institute of Internal Auditors,"√ Understand why we need an Enterprise Risk Management (ERM) programme
√ Start with corporate objectives and identify risks which may prevent achievement of objectives
√ Categorise risks, analyse, assess and rank them
√ Managing risks through mitigation techniques
√ Construct risk matrices to visualise risks
√ Compile a risk register for review and monitoring
√ Identify risks where further actions are needed to reduce them
√ Refresh risk assessment to ensure they are up to date
√ Align audit plans and resources to key risks
",1 day,$700.00,Classroom,13/10/2025,13/10/2025,4
Finance Functional Competencies,C02: Governance & Risk Management,(Level 2) Intermediate,Technology Audit Foundation,,Technology Audit Foundation,The Institute of Internal Auditors,"√ IT audit standards
√  IT audit function
√  IT governance framework",4 days,2700,TBA,TBA,,0
Finance Functional Competencies,C02: Governance & Risk Management,(Level 3) Advanced,[E-Learning] Corporate Governance and Control,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TP4PAAW,[E-Learning] Corporate Governance and Control,ISCA,,1.5HRS,$120.00,E-Learning,OTOT,6MTHS FROM PURCHASE,7
Finance Functional Competencies,C02: Governance & Risk Management,(Level 3) Advanced,Accounting Ethics: Understanding & Detecting Creative Accounting Practices,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTD2AAO,Accounting Ethics: Understanding & Detecting Creative Accounting Practices,ISCA,,14HRS (23 - 24 NOV),$642.00,Virtual Classroom,16/6/2025,17/6/2025,4
Finance Functional Competencies,C02: Governance & Risk Management,(Level 3) Advanced,Ethical Dilemmas in Government Procurement,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTDOAA4,Ethical Dilemmas in Government Procurement,ISCA,,7HRS,$434.00,Virtual Classroom,8/12/2025,8/12/2025,6
Finance Functional Competencies,C02: Governance & Risk Management,(Level 3) Advanced,Law and Ethics of Fraud for Company Insiders,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTCjAAO,Law and Ethics of Fraud for Company Insiders,ISCA,,7HRS,$434.00,Virtual Classroom,23/9/2025,23/9/2025,1
Finance Functional Competencies,C02: Governance & Risk Management,(Level 3) Advanced,Warning Signs of Procurement Fraud – Identifying Key Red Flags,,Warning Signs of Procurement Fraud – Identifying Key Red Flags,ISCA,,2HRS (9 DEC),$116.39,Virtual Classroom,Nil,,0
Finance Functional Competencies,C02: Governance & Risk Management,(Level 3) Advanced,Graduate Certificate in Digital Finance Module 5: Digital Forensics,https://academy.smu.edu.sg/graduate-certificate-digital-finance-module-5-digital-forensics-1976,Graduate Certificate in Digital Finance Module 5: Digital Forensics,Singapore Management University,,2DAYS,$480.00,Classroom,6/10/2025,7/10/2025,8
Finance Functional Competencies,C02: Governance & Risk Management,(Level 3) Advanced,Graduate Certificate in Digital Finance Module 6: Managing Expanding Cyber Risks,https://academy.smu.edu.sg/graduate-certificate-digital-finance-module-6-managing-expanding-cyber-risks-1981,Graduate Certificate in Digital Finance Module 6: Managing Expanding Cyber Risks,Singapore Management University,,2DAYS,$480.00,Classroom,19/8/2025,20/8/2025,5
Finance Functional Competencies,C02: Governance & Risk Management,(Level 3) Advanced,COSO Enterprise Risk Management Certificate,https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage|2&ROXY=0x000000000025a40b&DISPMODE=Calendar,COSO Enterprise Risk Management Certificate,The Institute of Internal Auditors,"√ ERM Framework
√ Integrate framework into organisation strategy setting process",23HRS,"$2,600.00",Classroom,5/11/2025,7/11/2025,3
Finance Functional Competencies,C02: Governance & Risk Management,(Level 3) Advanced,Enterprise Risk Management: A Driver for Organizational Success,,Enterprise Risk Management: A Driver for Organizational Success,The Institute of Internal Auditors,"√ ERM Framework
√ Apply concepts of risk management",2 days,1123.2,TBA,Nil,,0
Finance Functional Competencies,C02: Governance & Risk Management,(Level 3) Advanced,Internal Controls Masterclass,https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage|2&ROXY=0x000000000025a608&DISPMODE=Calendar,Internal Controls Masterclass,The Institute of Internal Auditors,"√ Identify control weakness
√ Implement effective control activities for common core business processes
√ Develop own internal control checklist ",2 days (16hrs),"$1,040.00",Classroom,21/7/2025,22/7/2025,2
Finance Functional Competencies,C02: Governance & Risk Management,(Level 3) Advanced,Public Services Internal Audit Conference 2026,,Public Services Internal Audit Conference 2026,The Institute of Internal Auditors,,,,Classroom,NA,,0
Finance Functional Competencies,C02: Governance & Risk Management,(Level 4) Expert,Corrupt Practices in Commercial and Public Sectors: How to identify and manage them,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTDDAA4,Corrupt Practices in Commercial and Public Sectors: How to identify and manage them,ISCA,,7HRS,$351.00,Virtual Classroom,Nil,,0
Finance Functional Competencies,C02: Governance & Risk Management,(Level 4) Expert,Ethical and Legal Issues in Procurements and Contractual Agreements,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTDEAA4,Ethical and Legal Issues in Procurements and Contractual Agreements,ISCA,,7HRS,$434.00,Virtual Classroom,12/11/2025,12/11/2025,3
Finance Functional Competencies,C02: Governance & Risk Management,(Level 4) Expert,ISCA Information Systems Risk Management (ISRM) Certificate,,ISCA Information Systems Risk Management (ISRM) Certificate,ISCA,"√ Enterprise IT Architecture
√ Network and Information security system
√ IT service Management
√ Information System Risk Management Framework",5 - 6 days of lessons conducted over a few months,1197,Mix of Live Webinar and E learning,NA,,0
Finance Functional Competencies,C02: Governance & Risk Management,(Level 4) Expert,Operational Risk Management - More than Just Compliance in the Post-Covid19 World,,Operational Risk Management - More than Just Compliance in the Post-Covid19 World,ISCA,,7hrs (14 Jun),$308.00,Virtual Classroom,Nil,,0
Finance Functional Competencies,C02: Governance & Risk Management,(Level 4) Expert,Professional Accountants In Business (PAIB) Conference 2025,,Professional Accountants In Business (PAIB) Conference 2025,ISCA,,1DAY,TBA,Classroom,TBA,TBA,5
Finance Functional Competencies,C02: Governance & Risk Management,(Level 4) Expert,Strategic Approach to Operational Risk Management,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000001syUjAAI&_ga=2.138414198.430155284.1739723664-975892733.1738335351,Strategic Approach to Operational Risk Management,ISCA,,14hrs,"$2,800.00",Classroom,19/6/2025,20/6/2025,2
Finance Functional Competencies,C02: Governance & Risk Management,(Level 4) Expert,Certified Risk Management Professional,,Certified Risk Management Professional,Nanyang Technological University,"√ ERM strategic business leadership
√ ERM implementation
√ Sustainable leadership in ERM",6 days across a few months,6420,Classroom,NA,,0
Finance Functional Competencies,C02: Governance & Risk Management,(Level 4) Expert,Graduate Certificate in Digital Finance II Module 3: Risk Management,,Graduate Certificate in Digital Finance II Module 3: Risk Management,Singapore Management University,,TBC,$600.00,Classroom,Nil,,0
